steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561198114628015,mathw_z,,0.0,https://steamcommunity.com/id/mathwz/,11.28
76561198975300295,M3gatron2072,US,0.0,https://steamcommunity.com/profiles/76561198975300295/,58.03
76561198252520680,Kyaappucino,PH,0.0,https://steamcommunity.com/id/kyaappucino/,21.92
76561198121448076,SpizganyMiś,,0.0,https://steamcommunity.com/profiles/76561198121448076/,33.93
76561199140234306,Chad Bosewickman,CN,0.0,https://steamcommunity.com/profiles/76561199140234306/,0.5
76561198042844472,eas6a1,,0.0,https://steamcommunity.com/profiles/76561198042844472/,0.0
76561199016867491,Exiaxchaos,,0.0,https://steamcommunity.com/profiles/76561199016867491/,6.98
76561199218070207,MrRaven016,,0.0,https://steamcommunity.com/profiles/76561199218070207/,29.15
76561198212408475,Duckman24,,0.0,https://steamcommunity.com/profiles/76561198212408475/,36.77
76561199212483657,Red,,0.0,https://steamcommunity.com/profiles/76561199212483657/,5.38
76561198872250478,tkhall,US,0.0,https://steamcommunity.com/id/tiffanyhall/,39.15
76561199186157079,Ông sắc,,0.0,https://steamcommunity.com/profiles/76561199186157079/,23.22
76561198815134230,elbaf wanderer,LU,0.0,https://steamcommunity.com/profiles/76561198815134230/,9.38
76561198212246063,BlackenedDecay,US,0.0,https://steamcommunity.com/id/VampyToast666/,40.13
76561199484296254,fares,,0.0,https://steamcommunity.com/profiles/76561199484296254/,2.97
76561198010446389,Burning Bush,PM,0.0,https://steamcommunity.com/profiles/76561198010446389/,9.73
76561199088889665,Fartballs,,0.0,https://steamcommunity.com/profiles/76561199088889665/,2.58
76561199023833103,AJI LODEH,ID,0.0,https://steamcommunity.com/profiles/76561199023833103/,44.37
76561198837641878,paper man,UG,0.0,https://steamcommunity.com/profiles/76561198837641878/,59.77
76561198354446411,gervontaa✞ CS.PRO,CO,0.57,https://steamcommunity.com/id/lilzulj/,0.57
76561197971396042,[atkOatbak],US,0.0,https://steamcommunity.com/profiles/76561197971396042/,19.05
76561199754041522,asdasdasdas,MD,0.0,https://steamcommunity.com/profiles/76561199754041522/,4.52
76561198261522097,CYNTHIA_,TH,0.0,https://steamcommunity.com/id/CynthiaOfficial/,165.1
76561199222014800,gotsp,,0.0,https://steamcommunity.com/profiles/76561199222014800/,142.93
76561198407718603,Pot,RO,2.48,https://steamcommunity.com/id/Strik3rww/,2.48
76561199179635961,240 peek kmh,,0.0,https://steamcommunity.com/profiles/76561199179635961/,9.3
76561199589803282,Travis,RO,0.0,https://steamcommunity.com/profiles/76561199589803282/,12.47
76561198031319404,SUN,JP,0.0,https://steamcommunity.com/profiles/76561198031319404/,9.6
